domain	market	content	purpose	behavior	source
11jav.com	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
141hongkong.com	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
141jav.com	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
18acg.us	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
18av.mm-cg.com	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
18av.pro	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
18avx.com	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
18doujin.com	华语/JAV中文受众市场	成人漫画/动画	漫画/动画内容浏览	阅读/图片/动画	V2Fly
18doujinshi.xyz	华语/JAV中文受众市场	成人漫画/动画	漫画/动画内容浏览	阅读/图片/动画	V2Fly
18h.mm-cg.com	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
18h.tv	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
18j.tv	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
18jav.tv	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
18jms.com	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
18mh.co	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
18mh.me	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
18mh.net	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
18novel.xyz	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
18porncomic.com	华语/JAV中文受众市场	成人漫画/动画	漫画/动画内容浏览	阅读/图片/动画	V2Fly
191porn.com	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
24hjav.com	华语/JAV中文受众市场	成人视频	视频点播/内容聚合	视频浏览/在线播放	V2Fly
